schemaname,tablename,indexname,indexdef
public,01_brand,01_brand_brand_key_key,"CREATE UNIQUE INDEX ""01_brand_brand_key_key"" ON public.""01_brand"" USING btree (brand_key)"
public,01_brand,01_brand_pkey,"CREATE UNIQUE INDEX ""01_brand_pkey"" ON public.""01_brand"" USING btree (brand_id)"
public,01_brand,01_brand_slug_key,"CREATE UNIQUE INDEX ""01_brand_slug_key"" ON public.""01_brand"" USING btree (slug)"
public,02_bike_model,02_bike_model_model_key_key,"CREATE UNIQUE INDEX ""02_bike_model_model_key_key"" ON public.""02_bike_model"" USING btree (model_key)"
public,02_bike_model,02_bike_model_pkey,"CREATE UNIQUE INDEX ""02_bike_model_pkey"" ON public.""02_bike_model"" USING btree (bike_model_id)"
public,02_bike_model,idx_02_bike_model_brand_id,"CREATE INDEX idx_02_bike_model_brand_id ON public.""02_bike_model"" USING btree (brand_id)"
public,02_bike_model,uq_02_bike_model_brand_slug,"CREATE UNIQUE INDEX uq_02_bike_model_brand_slug ON public.""02_bike_model"" USING btree (brand_id, slug)"
public,03_bike_model_year,03_bike_model_year_canonical_key_key,"CREATE UNIQUE INDEX ""03_bike_model_year_canonical_key_key"" ON public.""03_bike_model_year"" USING btree (canonical_key)"
public,03_bike_model_year,03_bike_model_year_model_year_key_key,"CREATE UNIQUE INDEX ""03_bike_model_year_model_year_key_key"" ON public.""03_bike_model_year"" USING btree (model_year_key)"
public,03_bike_model_year,03_bike_model_year_pkey,"CREATE UNIQUE INDEX ""03_bike_model_year_pkey"" ON public.""03_bike_model_year"" USING btree (bike_model_year_id)"
public,03_bike_model_year,idx_03_bike_model_year_battery_standard_code,"CREATE INDEX idx_03_bike_model_year_battery_standard_code ON public.""03_bike_model_year"" USING btree (battery_standard_code)"
public,03_bike_model_year,idx_03_bike_model_year_bike_model_id,"CREATE INDEX idx_03_bike_model_year_bike_model_id ON public.""03_bike_model_year"" USING btree (bike_model_id)"
public,03_bike_model_year,idx_03_bike_model_year_model_key,"CREATE INDEX idx_03_bike_model_year_model_key ON public.""03_bike_model_year"" USING btree (model_key)"
public,04_tire_product,04_tire_product_pkey,"CREATE UNIQUE INDEX ""04_tire_product_pkey"" ON public.""04_tire_product"" USING btree (tire_product_id)"
public,04_tire_product,04_tire_product_tire_product_key_key,"CREATE UNIQUE INDEX ""04_tire_product_tire_product_key_key"" ON public.""04_tire_product"" USING btree (tire_product_key)"
public,04_tire_product,idx_04_tire_product_size,"CREATE INDEX idx_04_tire_product_size ON public.""04_tire_product"" USING btree (width, ratio, diameter)"
public,05_battery_product,05_battery_product_battery_part_key_key,"CREATE UNIQUE INDEX ""05_battery_product_battery_part_key_key"" ON public.""05_battery_product"" USING btree (battery_part_key)"
