table_schema,table_name,column_name,foreign_table_schema,foreign_table_name,foreign_column_name,constraint_name
public,02_bike_model,brand_id,public,01_brand,brand_id,02_bike_model_brand_id_fkey
public,03_bike_model_year,bike_model_id,public,02_bike_model,bike_model_id,03_bike_model_year_bike_model_id_fkey
public,04_tire_product,tire_model_id,public,11_tire_model,tire_model_id,04_tire_product_tire_model_id_fkey
public,07_bike_model_year_tire_product,bike_model_year_id,public,03_bike_model_year,bike_model_year_id,07_bike_model_year_tire_product_bike_model_year_id_fkey
public,07_bike_model_year_tire_product,tire_product_id,public,04_tire_product,tire_product_id,07_bike_model_year_tire_product_tire_product_id_fkey
public,08_battery_standard_product,battery_product_id,public,05_battery_product,battery_product_id,08_battery_standard_product_battery_product_id_fkey
public,09_bike_model_year_brake_product,bike_model_year_id,public,03_bike_model_year,bike_model_year_id,09_bike_model_year_brake_product_bike_model_year_id_fkey
public,09_bike_model_year_brake_product,brake_product_id,public,06_brake_product,brake_product_id,09_bike_model_year_brake_product_brake_product_id_fkey
public,10_bike_model_year_image,bike_model_id,public,02_bike_model,bike_model_id,10_bike_model_year_image_bike_model_id_fkey
public,10_bike_model_year_image,bike_model_year_id,public,03_bike_model_year,bike_model_year_id,10_bike_model_year_image_bike_model_year_id_fkey
public,10_bike_model_year_image,brand_id,public,01_brand,brand_id,10_bike_model_year_image_brand_id_fkey
